name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
PP_3264_ST10,ngcc,10239,362.1,7.192703841,137.598,3.17,370.3545253,25347,362.1,6,6
PP_3291_GT2,ngct,9961,19.6,16.4977092,7.448,3.17,47.6884102,1372,19.6,1,1
PP_3291_GT3,ngct,9961,22.3,16.49769738,8.474,3.17,54.25769313,1561,22.3,1,1
PP_3291_GT4,ngct,9961,22.3,16.49769738,8.474,3.17,54.25769313,1561,22.3,1,1
PP_55043_GT1,ngcc,4521,60,12.37510126,22.8,3.17,105.5837211,4200,60,6,6
PP_55043_ST1,ngcc,4521,41.2,7.260931387,15.656,3.17,42.53892406,2884,41.2,6,6
PP_55166_CT01,ngct,4521,197,11.94986135,74.86,3.17,347.1860137,13790,197,1,1
PP_55166_CT02,ngct,4521,197,11.18838102,74.86,3.17,325.0622993,13790,197,1,1
PP_55166_CT03,ngct,4521,197,7.617751931,74.86,3.17,221.3228128,13790,197,1,1
PP_55166_CT04,ngct,4521,197,11.24637597,74.86,3.17,326.747259,13790,197,1,1
PP_55166_CT05,ngct,4521,197,10.90407923,74.86,3.17,316.8023202,13790,197,1,1
PP_56249_1,ngct,29024,57.3,3.988123447,21.774,3.17,33.70205195,4011,57.3,1,1
PP_56249_2,ngct,29024,57.3,5.928300405,21.774,3.17,50.09771912,4011,57.3,1,1
PP_56249_3,ngct,29024,57.3,5.366900809,21.774,3.17,45.35355344,4011,57.3,1,1
PP_56249_4,ngct,29024,57.3,6.002832867,21.774,3.17,50.72756344,4011,57.3,1,1
PP_56249_5,ngct,29024,57.3,3.768655408,21.774,3.17,31.84741447,4011,57.3,1,1
PP_56249_6,ngct,29024,57.3,5.761277734,21.774,3.17,48.68627666,4011,57.3,1,1
PP_56292_ES1,ngct,28663,57.3,6.76235573,21.774,3.17,57.14599038,4011,57.3,1,1
PP_56292_ES2,ngct,28663,57.3,2.909009208,21.774,3.17,24.58288485,4011,57.3,1,1
PP_56292_ES3,ngct,28663,57.3,3.374423564,21.774,3.17,28.51591727,4011,57.3,1,1
PP_56292_ES4,ngct,28663,57.3,6.939299966,21.774,3.17,58.64127605,4011,57.3,1,1
